episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,custom_metrics/raw_reward_mean,custom_metrics/raw_reward_min,custom_metrics/raw_reward_max,custom_metrics/normalized_raw_reward_mean,custom_metrics/normalized_raw_reward_min,custom_metrics/normalized_raw_reward_max,custom_metrics/auxiliary_reward_coverage_rate_mean,custom_metrics/auxiliary_reward_coverage_rate_min,custom_metrics/auxiliary_reward_coverage_rate_max,custom_metrics/reward_coefficient_coverage_rate_mean,custom_metrics/reward_coefficient_coverage_rate_min,custom_metrics/reward_coefficient_coverage_rate_max,custom_metrics/coverage_rate_mean,custom_metrics/coverage_rate_min,custom_metrics/coverage_rate_max,custom_metrics/real_coverage_rate_mean,custom_metrics/real_coverage_rate_min,custom_metrics/real_coverage_rate_max,custom_metrics/mean_transport_rate_mean,custom_metrics/mean_transport_rate_min,custom_metrics/mean_transport_rate_max,custom_metrics/num_delivered_cargoes_mean,custom_metrics/num_delivered_cargoes_min,custom_metrics/num_delivered_cargoes_max,custom_metrics/num_selected_targets_mean,custom_metrics/num_selected_targets_min,custom_metrics/num_selected_targets_max,custom_metrics/num_valid_selected_targets_mean,custom_metrics/num_valid_selected_targets_min,custom_metrics/num_valid_selected_targets_max,custom_metrics/num_invalid_selected_targets_mean,custom_metrics/num_invalid_selected_targets_min,custom_metrics/num_invalid_selected_targets_max,custom_metrics/invalid_target_selection_rate_mean,custom_metrics/invalid_target_selection_rate_min,custom_metrics/invalid_target_selection_rate_max,custom_metrics/episode_raw_reward_mean,custom_metrics/episode_raw_reward_min,custom_metrics/episode_raw_reward_max,custom_metrics/episode_normalized_raw_reward_mean,custom_metrics/episode_normalized_raw_reward_min,custom_metrics/episode_normalized_raw_reward_max,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/loss,info/learner/default_policy/learner_stats/grad_norm,info/learner/default_policy/learner_stats/td_error_abs,info/learner/default_policy/learner_stats/q_taken_mean,info/learner/default_policy/learner_stats/target_mean
2080.0,1324.0,1732.0833333333333,242.58333333333334,24,3,5822,1558,5822,False,24,1,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-09-05,1774105745,72.19124674797058,72.19124674797058,56051,ASUS-PAVT,172.27.211.168,72.19124674797058,1558,1,11.851318120956421,-31.421468647851967,-38.516746411483254,-24.844444444444445,-0.0024548022381134355,-0.0030091208133971293,-0.0019409722222222222,1.784065571895809,1.4272540983606556,2.1193647540983607,1.0,1.0,1.0,0.35747523322354197,0.28627049180327874,0.4238729508196722,0.353079183763305,0.2833099141295863,0.4426229508196721,0.5921223958333334,0.479375,0.65296875,64.0,64.0,64.0,3.9664020285272805,3.8833333333333333,4.054147465437788,0.46718135630638713,0.36598360655737705,0.5614341085271317,3.4992206722208934,3.384453781512605,3.6321285140562254,0.8779398581310152,0.8522574029611845,0.9046421252927399,-7579.166666666667,-8358.0,-6136.0,-0.5921223958333334,-0.65296875,-0.479375,"[1501.0, 1481.5, 1582.5, 2027.0, 1847.5, 1940.5, 1633.5, 2080.0, 1746.5, 1760.5, 1393.0, 1780.5, 1482.5, 1511.5, 2021.5, 1948.5, 1324.0, 1692.0, 2068.5, 1701.5, 1518.5, 1720.0, 1881.5, 1926.0]","[217, 224, 243, 258, 238, 255, 272, 270, 231, 238, 244, 249, 213, 249, 248, 260, 209, 220, 244, 251, 232, 265, 243, 249]",8.47434239051553,2.946482963942408,0.24427078443853142,100.56883773205375,0.0,8646.563,164.314,901.302,1576.331,20.384,5822,5822,11366,1558,5822,8,34.05600000000001,68.21600000000001,227.55247497558594,14640.32421875,7.412541243782092,-104.95420811938382,-105.95063783697047
2172.0,1418.5,1799.1,246.92,21,3,11006,1431,11006,False,45,2,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-10-13,1774105813,68.37257266044617,140.56381940841675,56051,ASUS-PAVT,172.27.211.168,140.56381940841675,2989,2,11.851318120956421,-30.70299738235628,-37.26126126126126,-23.62857142857143,-0.0023986716704965843,-0.0029110360360360367,-0.0018459821428571427,1.8241073638693683,1.5809386973180077,2.215811965811966,1.0,1.0,1.0,0.3653448381355126,0.3164750957854406,0.4446047008547009,0.3577354128443902,0.29378383718632683,0.42446511627906974,0.5865874999999999,0.516875,0.6575,64.0,64.0,64.0,3.870270596134169,3.7019650655021836,3.9893162393162394,0.47693888643551235,0.3957207207207207,0.5802350427350429,3.3933317096986566,3.2181222707423585,3.524353448275862,0.8732249478711382,0.8478932584269663,0.890150269541779,-7508.32,-8416.0,-6616.0,-0.5865874999999999,-0.6575,-0.516875,"[1518.5, 1720.0, 1881.5, 1926.0, 2142.0, 2074.0, 2015.0, 2172.0, 1805.5, 1946.0, 2053.5, 1603.0, 1625.5, 1617.0, 2133.5, 1650.5, 1746.0, 1468.0, 1616.5, 1720.0, 1788.5, 1920.0, 1619.0, 1418.5, 1797.5]","[232, 265, 243, 249, 280, 234, 281, 267, 254, 270, 270, 227, 209, 238, 305, 261, 229, 224, 241, 265, 227, 247, 218, 222, 215]",8.340180909316276,2.863935836432335,0.2453167612417203,100.12068269581692,0.0,7921.217,186.07,752.258,1959.301,19.952,11006,11006,21558,1431,11006,15,31.50526315789473,78.46105263157897,1039.7689208984375,21835.21875,14.692418981481481,-401.99021663172607,-402.7180293501048
2168.5,1332.5,1716.82,243.4,21,3,16189,1454,16189,False,66,3,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-11-24,1774105884,70.6939127445221,211.25773215293884,56051,ASUS-PAVT,172.27.211.168,211.25773215293884,4443,3,11.851318120956421,-31.707114032870358,-41.01960784313726,-24.671755725190838,-0.002477118283817997,-0.003204656862745098,-0.0019274809160305338,1.7633725331504468,1.3894589552238805,2.0901162790697674,1.0,1.0,1.0,0.3533308942823842,0.27798507462686567,0.4194186046511628,0.3405286661758194,0.2591835465529495,0.42446511627906974,0.5975,0.505,0.695,64.0,64.0,64.0,3.7755857253811542,3.672161172161172,3.9453488372093024,0.4512961076149371,0.33488805970149255,0.5519396551724137,3.324289617766217,3.1601239669421486,3.4990671641791047,0.8766584641716313,0.8485652709359605,0.912004486496091,-7648.0,-8896.0,-6464.0,-0.5975,-0.6950000000000001,-0.5049999999999999,"[1920.0, 1619.0, 1418.5, 1797.5, 2135.5, 1550.5, 1350.5, 1491.0, 1823.5, 1505.0, 1988.0, 1847.0, 1850.0, 1815.0, 2032.5, 1682.5, 1340.5, 1936.0, 1489.5, 1407.0, 1332.5, 2168.5, 1815.0, 1952.0, 1653.5]","[247, 218, 222, 215, 273, 228, 217, 255, 273, 224, 255, 232, 241, 236, 262, 223, 204, 257, 268, 234, 233, 296, 274, 242, 256]",8.328035223718244,2.81734256100957,0.24579832634182888,99.01189061081705,0.0,9627.634,152.208,798.888,1834.299,19.896,16189,16189,31783,1454,16189,22,31.335714285714293,82.71632653061225,1351.1859130859375,92079.3203125,17.45844437757909,-512.7786279229712,-508.28443088033015
2302.0,1235.5,1832.34,251.68,21,3,21413,1533,21413,False,87,4,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-12-55,1774105975,90.85637021064758,302.1141023635864,56051,ASUS-PAVT,172.27.211.168,302.1141023635864,5976,4,11.851318120956421,-30.14266342906624,-41.64423076923077,-21.56223175965665,-0.0023548955803958,-0.003253455528846154,-0.001684549356223176,1.8185896178526564,1.4849759615384615,2.4699570815450644,1.0,1.0,1.0,0.36425336174080025,0.2969951923076923,0.4943133047210301,0.35459500726353244,0.2950116402116402,0.5249172286940528,0.58804375,0.3925,0.67671875,64.0,64.0,64.0,3.670896534244345,3.5833333333333335,3.7728365384615383,0.47574910885395527,0.38125,0.682832618025751,3.19514742539039,2.994206008583691,3.3915865384615387,0.8651544422308937,0.8075498160637645,0.893153331043956,-7526.96,-8662.0,-5024.0,-0.58804375,-0.67671875,-0.3925,"[2168.5, 1815.0, 1952.0, 1653.5, 1627.5, 2223.5, 1948.5, 1636.0, 1819.0, 1945.0, 1960.0, 2283.5, 2302.0, 1483.0, 1642.5, 1608.5, 2040.0, 1891.0, 1381.0, 1919.0, 1235.5, 2021.0, 1877.5, 1640.0, 1735.5]","[296, 274, 242, 256, 234, 274, 228, 234, 262, 251, 272, 295, 233, 232, 228, 230, 250, 270, 225, 287, 208, 267, 251, 244, 249]",8.392022694091523,2.7962245183571266,0.2456585967543697,98.76632700673446,0.0,11816.679,126.101,1268.936,1174.291,21.929,21413,21413,42361,1533,21413,29,25.6816,86.44239999999999,1579.4693603515625,28247.759765625,16.369208149869536,-443.07456784083496,-442.042726679713
2244.0,1363.5,1825.24,250.36,21,3,26661,1490,26661,False,108,5,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-14-02,1774106042,66.9941508769989,369.1082532405853,56051,ASUS-PAVT,172.27.211.168,369.1082532405853,7466,5,11.851318120956421,-30.590015712847194,-39.03004291845494,-24.83206106870229,-0.0023898449775661868,-0.0030492221030042916,-0.001940004770992366,1.8243057415948265,1.4629828326180256,2.1412213740458017,1.0,1.0,1.0,0.36544804371364753,0.29324034334763943,0.42824427480916033,0.3449368415132101,0.2829574428196476,0.4362468193384224,0.5951187499999999,0.50828125,0.71046875,64.0,64.0,64.0,3.5557815525513394,3.4756944444444446,3.6772908366533863,0.48290491272993663,0.38870967741935486,0.5976923076923077,3.072876639821404,2.9070212765957453,3.2450819672131144,0.8584944914506448,0.8239700091575092,0.8861332515838953,-7617.52,-9094.0,-6506.0,-0.5951187499999999,-0.71046875,-0.5082812499999999,"[2021.0, 1877.5, 1640.0, 1735.5, 1986.5, 1911.5, 1579.5, 2173.5, 1672.0, 1991.5, 1554.5, 1642.5, 1670.0, 1838.5, 1993.0, 1746.5, 1798.0, 1994.0, 1363.5, 1571.0, 2131.0, 1878.0, 2244.0, 1629.0, 1989.0]","[267, 251, 244, 249, 266, 310, 234, 268, 258, 235, 216, 236, 248, 253, 245, 237, 225, 282, 233, 248, 260, 254, 262, 244, 234]",8.606313110772417,2.7890983149921698,0.24583851846112637,98.7327990841085,0.0,10424.629,144.274,1218.982,1233.816,20.422,26661,26661,52795,1490,26661,36,27.272826086956517,90.17173913043477,1141.9110107421875,18528.6640625,13.993396078020135,-345.3679739932886,-344.7981753355705
2400.0,1250.5,1876.18,245.0,21,3,31792,1610,31792,False,129,6,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-15-19,1774106119,76.8989691734314,446.0072224140167,56051,ASUS-PAVT,172.27.211.168,446.0072224140167,9076,6,11.851318120956421,-30.1953103658095,-39.97285067873303,-22.226027397260275,-0.002359008622328867,-0.0031228789592760184,-0.001736408390410959,1.910907848233823,1.4145927601809956,2.3058510638297873,1.0,1.0,1.0,0.38305371644175834,0.2846153846153846,0.4617375886524823,0.3650534456281955,0.27227429433311784,0.4362468193384224,0.5724625,0.4696875,0.69015625,64.0,64.0,64.0,3.4609734232213816,3.374468085106383,3.5442913385826773,0.5213535216840668,0.4149019607843138,0.6597744360902256,2.939619901537315,2.7781954887218046,3.086136363636364,0.84400539668351,0.8018828320802004,0.8759299719887954,-7327.52,-8834.0,-6012.0,-0.5724625,-0.69015625,-0.46968750000000004,"[1878.0, 2244.0, 1629.0, 1989.0, 1419.5, 2151.0, 1782.0, 1689.5, 1656.0, 2253.5, 2167.5, 1905.0, 1668.5, 1855.5, 2365.0, 1693.5, 1958.0, 1801.0, 1629.5, 1597.5, 2077.5, 2400.0, 1708.5, 2135.5, 1250.5]","[254, 262, 244, 234, 220, 250, 247, 255, 204, 266, 235, 235, 247, 255, 292, 258, 261, 235, 236, 216, 259, 277, 206, 256, 221]",8.552634786621125,2.781339280330777,0.24599963464314523,98.62270742435042,0.0,9772.711,153.11,981.659,1524.257,19.882,31792,31792,63160,1610,31792,43,28.91132075471698,91.80566037735846,1866.151611328125,28605.041015625,16.89447665954969,-390.11040372670806,-389.37717391304346
2692.5,1250.5,1862.1,239.08,24,3,37548,1404,37548,False,153,7,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-16-44,1774106204,85.20164632797241,531.2088687419891,56051,ASUS-PAVT,172.27.211.168,531.2088687419891,10480,7,11.851318120956421,-31.099679477324553,-43.14572864321608,-22.444444444444443,-0.002429662459165981,-0.0033707600502512567,-0.0017534722222222225,1.9383336355519736,1.4145927601809956,2.4036458333333335,1.0,1.0,1.0,0.38847742915061834,0.2846153846153846,0.48163194444444446,0.36821067677959496,0.27227429433311784,0.44406663359788356,0.5727812499999999,0.48921875,0.69015625,64.0,64.0,64.0,3.351250598000974,3.2602880658436213,3.457317073170732,0.5617973498754143,0.43461956521739126,0.8219339622641509,2.7894532481255596,2.44811320754717,2.9495475113122174,0.8265360690754089,0.7379228436657682,0.864847049689441,-7331.6,-8834.0,-6262.0,-0.57278125,-0.69015625,-0.48921875000000004,"[1250.5, 2020.0, 1283.0, 1716.0, 2312.5, 2301.0, 1420.5, 1766.0, 1758.5, 1871.0, 2082.0, 1851.5, 1876.0, 2268.0, 1784.5, 1964.5, 1900.5, 1676.0, 1535.0, 2307.5, 1505.0, 2692.5, 1898.0, 1604.0, 1908.5]","[221, 246, 199, 235, 279, 272, 215, 245, 244, 248, 254, 230, 255, 286, 219, 248, 212, 230, 215, 240, 204, 288, 229, 243, 220]",8.632704936502677,2.7694316113105053,0.24599929924695754,98.19377617157467,0.0,10043.924,150.16,860.927,1751.833,20.244,37548,37548,75140,1404,37548,51,27.02051282051282,91.85128205128206,397.6961364746094,25815.537109375,9.973399105235043,-254.36382656695156,-252.11540687321937
2238.5,1480.5,1917.8,236.6,24,3,43243,1500,43243,False,177,8,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-18-14,1774106294,89.97977566719055,621.1886444091797,56051,ASUS-PAVT,172.27.211.168,621.1886444091797,11980,8,11.851318120956421,-30.615734020857445,-38.66019417475728,-24.96727272727273,-0.0023918542203794878,-0.003020327669902913,-0.0019505681818181818,2.030388994111459,1.6595528455284554,2.375,1.0,1.0,1.0,0.4067622575615125,0.33191056910569106,0.4753275109170305,0.3852259293295486,0.3151819589624468,0.4651965065502183,0.5614375,0.4590625,0.65078125,64.0,64.0,64.0,3.2395623517135186,3.1585106382978725,3.3666666666666667,0.6042479174023032,0.4404166666666666,0.7177480916030535,2.635314434311216,2.5128440366972473,2.7970833333333336,0.8092920697064224,0.7741748455107234,0.8610962301587303,-7186.4,-8330.0,-5876.0,-0.5614375,-0.6507812500000001,-0.45906250000000004,"[1908.5, 1960.0, 2001.0, 1689.5, 1875.0, 1633.0, 1633.5, 2238.5, 1849.0, 2213.5, 1890.0, 1972.5, 2106.5, 2076.5, 1699.5, 1879.0, 1480.5, 1946.5, 1746.0, 2175.5, 2184.5, 1705.0, 1856.0, 2054.5, 2171.0]","[220, 230, 242, 221, 232, 246, 205, 262, 235, 275, 208, 261, 256, 258, 218, 210, 206, 225, 240, 229, 269, 209, 271, 231, 256]",8.649897460091863,2.7629041512472634,0.24596665438007276,97.98465730585231,0.0,10871.001,134.284,815.268,1790.578,20.435,43243,43243,86806,1500,43243,59,26.540650406504067,92.8951219512195,168.4530029296875,4987.412109375,7.158043619791667,-143.83407291666666,-143.65914583333333
2770.5,1611.5,2152.24,248.84,21,3,48497,1423,48497,False,198,9,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-19-24,1774106364,69.89168286323547,691.0803272724152,56051,ASUS-PAVT,172.27.211.168,691.0803272724152,13403,9,11.851318120956421,-27.9346681399011,-38.421052631578945,-19.829457364341085,-0.0021823959484297733,-0.0030016447368421055,-0.0015491763565891475,2.1618134592512943,1.7121771217712176,2.684593023255814,1.0,1.0,1.0,0.43325337873584474,0.3429889298892989,0.5372577519379845,0.397945604256559,0.2993557987711213,0.5402648578811369,0.5385875,0.3996875,0.6425,64.0,64.0,64.0,3.138833518046704,3.052371541501976,3.264354066985646,0.683285728295783,0.4487084870848708,0.8042910447761195,2.4555477897509217,2.2973880597014924,2.7302583025830263,0.7788516087610331,0.7376430348258707,0.8536830082586541,-6893.92,-8224.0,-5116.0,-0.5385875,-0.6425000000000001,-0.3996875000000001,"[1705.0, 1856.0, 2054.5, 2171.0, 1611.5, 1830.0, 2378.5, 2204.0, 1957.5, 2169.0, 2481.5, 1874.5, 2306.5, 2770.5, 2263.0, 2668.0, 2385.0, 2219.5, 2008.0, 2010.0, 2457.0, 2033.0, 2047.5, 2527.5, 1817.5]","[209, 271, 231, 256, 224, 209, 235, 256, 229, 244, 253, 236, 254, 258, 242, 306, 259, 280, 247, 259, 281, 232, 234, 268, 248]",8.694485961381233,2.846135225060051,0.24578438870247454,98.3093658394284,0.0,9944.592,148.774,994.369,1487.879,22.341,48497,48497,97105,1423,48497,66,28.759375000000002,93.03020833333333,95.50487518310547,12924.6435546875,5.3784855663650735,-87.04643029690794,-88.00188861560085
2612.0,1534.5,2061.64,243.64,24,3,54340,1473,54340,False,222,10,b1f8b_00000,c45d7e9db04742289f3c512188e9cfe2,2026-03-21_22-20-53,1774106453,88.72325015068054,779.8035774230957,56051,ASUS-PAVT,172.27.211.168,779.8035774230957,14876,10,11.851318120956421,-29.004639359299958,-40.29896907216495,-21.152,-0.002265987449945309,-0.0031483569587628865,-0.0016524999999999999,2.1202407943625,1.7740384615384615,2.6725113122171944,1.0,1.0,1.0,0.4247689592513349,0.35639423076923077,0.5368778280542986,0.3909869845142102,0.2993557987711213,0.5075177763413057,0.54748125,0.413125,0.620625,64.0,64.0,64.0,3.036883302743401,3.0047169811320753,3.099798387096774,0.7321103353370151,0.5621399176954732,0.8628440366972476,2.304772967406386,2.153893442622951,2.498559670781893,0.757766309952583,0.7138493883792049,0.8142957573976093,-7007.76,-7944.0,-5288.0,-0.54748125,-0.620625,-0.41312499999999996,"[1817.5, 2414.0, 2021.0, 1861.0, 1997.0, 2270.5, 2270.0, 1921.0, 2471.0, 1852.0, 1845.0, 2101.5, 2014.0, 1962.0, 2362.5, 2112.5, 2612.0, 1881.0, 2271.0, 1818.0, 2169.5, 1855.0, 1832.0, 1534.5, 2275.5]","[248, 286, 240, 240, 218, 249, 287, 212, 250, 217, 260, 285, 232, 237, 221, 236, 281, 243, 246, 236, 254, 254, 221, 194, 244]",8.67652290272221,2.841017586177484,0.24551113260232937,98.35275974852065,0.0,10360.948,139.379,887.584,1627.001,23.165,54340,54340,108646,1473,54340,74,25.96693548387097,92.92500000000001,65.3547134399414,4568.115234375,4.781865572492363,-36.524848311269515,-36.64776391717583
