episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,3,2040,2040,8160,False,0,1,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-15_23-58-53,1773593933,45.788607597351074,45.788607597351074,243108,ASUS-PAVT,172.27.211.168,45.788607597351074,2040,1,16.956180572509766,[],[],21668.048,94.148,98.281,20756.829,24271.078,84.051,7.826,2040,8160,2040,2040,8160,29.59384615384615,68.31538461538462,0.20000000000000004,0.0005000000000000002,757.3774682706402,-0.011422324038463674,757.5303081235578,0.42830157135763475,0.016086537141687115,2.892698266813832,0.05000000000000001
1886.3999999999974,984.8000000000027,1479.3999999999987,258.75,12,3,4080,2040,16320,False,12,2,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-15_23-59-32,1773593972,39.26913571357727,85.05774331092834,243108,ASUS-PAVT,172.27.211.168,85.05774331092834,4080,2,16.956180572509766,"[1516.000000000002, 1313.5999999999983, 1886.3999999999974, 1492.000000000001, 1116.7999999999993, 984.8000000000027, 1731.9999999999948, 1554.4000000000012, 1317.5999999999995, 1571.2000000000007, 1407.1999999999957, 1860.7999999999952]","[250, 254, 269, 286, 218, 226, 268, 299, 230, 236, 257, 312]",31894.129,63.962,101.974,20005.097,22027.91,92.61,8.1,4080,16320,4080,2040,16320,26.642592592592592,70.26666666666668,0.20000000000000004,0.0005000000000000002,442.4477226157342,-0.04147709210144145,442.62843724604573,0.7289018213989273,0.037938363633363614,2.9389132189173854,0.04995919999999999
1973.6000000000006,911.2,1481.0666666666662,250.28571428571428,9,3,6120,2040,24480,False,21,3,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-00-14,1773594014,41.31447982788086,126.3722231388092,243108,ASUS-PAVT,172.27.211.168,126.3722231388092,6120,3,16.956180572509766,"[1516.000000000002, 1313.5999999999983, 1886.3999999999974, 1492.000000000001, 1116.7999999999993, 984.8000000000027, 1731.9999999999948, 1554.4000000000012, 1317.5999999999995, 1571.2000000000007, 1407.1999999999957, 1860.7999999999952, 1390.3999999999987, 1511.2000000000012, 1298.3999999999985, 1808.799999999997, 1973.6000000000006, 1453.600000000003, 1624.0000000000014, 911.2, 1378.400000000001]","[250, 254, 269, 286, 218, 226, 268, 299, 230, 236, 257, 312, 230, 244, 233, 234, 290, 241, 219, 214, 246]",33754.024,60.437,96.367,21169.081,22292.416,91.511,9.61,6120,24480,6120,2040,24480,26.44310344827586,70.96724137931035,0.29999999999999993,0.0005000000000000002,315.81023538497186,-0.08825428055171224,316.0389005253392,0.8431761553210597,0.04979785185200708,3.11208185601619,0.04991840000000001
1973.6000000000006,911.2,1492.0959999999998,250.28,4,3,8160,2040,32640,False,25,4,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-00-55,1773594055,40.713154315948486,167.0853774547577,243108,ASUS-PAVT,172.27.211.168,167.0853774547577,8160,4,16.956180572509766,"[1516.000000000002, 1313.5999999999983, 1886.3999999999974, 1492.000000000001, 1116.7999999999993, 984.8000000000027, 1731.9999999999948, 1554.4000000000012, 1317.5999999999995, 1571.2000000000007, 1407.1999999999957, 1860.7999999999952, 1390.3999999999987, 1511.2000000000012, 1298.3999999999985, 1808.799999999997, 1973.6000000000006, 1453.600000000003, 1624.0000000000014, 911.2, 1378.400000000001, 1608.8000000000038, 1457.6000000000006, 1910.3999999999992, 1223.2000000000007]","[250, 254, 269, 286, 218, 226, 268, 299, 230, 236, 257, 312, 230, 244, 233, 234, 290, 241, 219, 214, 246, 270, 258, 269, 204]",35750.774,57.062,96.324,21178.569,21970.003,92.854,9.59,8160,32640,8160,2040,32640,27.367272727272724,70.97090909090907,0.45000000000000007,0.0005000000000000002,299.981692506421,-0.11416833404631864,300.2294881689933,0.8480152132049683,0.046233922156041524,3.096169720253637,0.0498776
1973.6000000000006,911.2,1543.3600000000004,242.8,11,3,10200,2040,40800,False,36,5,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-01-32,1773594092,37.45742750167847,204.54280495643616,243108,ASUS-PAVT,172.27.211.168,204.54280495643616,10200,5,16.956180572509766,"[1860.7999999999952, 1390.3999999999987, 1511.2000000000012, 1298.3999999999985, 1808.799999999997, 1973.6000000000006, 1453.600000000003, 1624.0000000000014, 911.2, 1378.400000000001, 1608.8000000000038, 1457.6000000000006, 1910.3999999999992, 1223.2000000000007, 1139.2000000000007, 1559.9999999999984, 1830.4000000000015, 1547.1999999999998, 1611.2000000000012, 1500.800000000002, 1652.8, 1763.2000000000007, 1325.6000000000013, 1841.6000000000006, 1401.6000000000015]","[312, 230, 244, 233, 234, 290, 241, 219, 214, 246, 270, 258, 269, 204, 201, 232, 272, 218, 227, 223, 260, 216, 221, 298, 238]",36232.305,56.303,93.397,21842.355,21457.581,95.071,9.484,10200,40800,10200,2040,40800,28.165384615384614,71.23076923076923,0.6750000000000002,0.0005000000000000002,187.68206796723027,-0.11761484352187367,187.92920190288174,0.8958922608965828,0.042835398419576405,3.179035633802414,0.04983680000000001
2208.7999999999956,1095.1999999999985,1541.9840000000002,237.44,10,3,12240,2040,48960,False,46,6,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-02-13,1773594133,40.77442693710327,245.31723189353943,243108,ASUS-PAVT,172.27.211.168,245.31723189353943,12240,6,16.956180572509766,"[1608.8000000000038, 1457.6000000000006, 1910.3999999999992, 1223.2000000000007, 1139.2000000000007, 1559.9999999999984, 1830.4000000000015, 1547.1999999999998, 1611.2000000000012, 1500.800000000002, 1652.8, 1763.2000000000007, 1325.6000000000013, 1841.6000000000006, 1401.6000000000015, 2143.999999999998, 1268.000000000002, 1095.1999999999985, 1243.1999999999998, 1577.6000000000004, 2208.7999999999956, 1379.1999999999996, 1545.5999999999992, 1156.800000000002, 1557.6]","[270, 258, 269, 204, 201, 232, 272, 218, 227, 223, 260, 216, 221, 298, 238, 250, 209, 207, 194, 244, 295, 242, 225, 220, 243]",36490.204,55.905,94.461,21596.113,21471.339,95.01,9.525,12240,48960,12240,2040,48960,26.863793103448273,71.57413793103447,1.0124999999999997,0.0005000000000000002,338.14175405809954,-0.11192779292304617,338.38061425762794,0.8202052603085195,0.03565127600925356,3.2738997373850114,0.049795999999999986
2208.7999999999956,989.5999999999993,1501.8240000000005,236.64,6,3,14280,2040,57120,False,52,7,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-02-49,1773594169,36.061777114868164,281.3790090084076,243108,ASUS-PAVT,172.27.211.168,281.3790090084076,14280,7,16.956180572509766,"[1830.4000000000015, 1547.1999999999998, 1611.2000000000012, 1500.800000000002, 1652.8, 1763.2000000000007, 1325.6000000000013, 1841.6000000000006, 1401.6000000000015, 2143.999999999998, 1268.000000000002, 1095.1999999999985, 1243.1999999999998, 1577.6000000000004, 2208.7999999999956, 1379.1999999999996, 1545.5999999999992, 1156.800000000002, 1557.6, 1464.8000000000018, 989.5999999999993, 1144.7999999999988, 1609.6000000000008, 1067.200000000001, 1619.2000000000025]","[272, 218, 227, 223, 260, 216, 221, 298, 238, 250, 209, 207, 194, 244, 295, 242, 225, 220, 243, 257, 213, 228, 252, 197, 267]",36760.819,55.494,92.894,21960.528,20912.654,97.549,9.328,14280,57120,14280,2040,57120,27.628,71.67800000000001,1.5187500000000003,0.0005000000000000002,214.74525886966336,-0.0848678046564718,214.95603707144338,0.8300420709194676,0.02600765811040486,3.324502135957441,0.049755200000000006
2208.7999999999956,989.5999999999993,1419.2320000000002,238.56,9,3,16320,2040,65280,False,61,8,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-03-30,1773594210,40.25085496902466,321.62986397743225,243108,ASUS-PAVT,172.27.211.168,321.62986397743225,16320,8,16.956180572509766,"[2143.999999999998, 1268.000000000002, 1095.1999999999985, 1243.1999999999998, 1577.6000000000004, 2208.7999999999956, 1379.1999999999996, 1545.5999999999992, 1156.800000000002, 1557.6, 1464.8000000000018, 989.5999999999993, 1144.7999999999988, 1609.6000000000008, 1067.200000000001, 1619.2000000000025, 1556.0000000000023, 1198.4000000000012, 1467.999999999999, 1250.4000000000005, 1625.5999999999972, 1073.6000000000013, 1287.2000000000025, 1804.8000000000002, 1145.600000000002]","[250, 209, 207, 194, 244, 295, 242, 225, 220, 243, 257, 213, 228, 252, 197, 267, 271, 240, 214, 261, 260, 272, 239, 238, 226]",36849.703,55.36,92.688,22009.323,20736.993,98.375,9.13,16320,65280,16320,2040,65280,27.832142857142856,71.675,2.2781249999999997,0.0005000000000000002,158.48745049968844,-0.10455584257086288,158.7092783989445,0.8112701445577606,0.021697113234451212,3.3531846591541843,0.04971440000000001
1868.0,989.5999999999993,1417.4080000000004,243.72,9,3,18360,2040,73440,False,70,9,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-04-05,1773594245,35.454492807388306,357.08435678482056,243108,ASUS-PAVT,172.27.211.168,357.08435678482056,18360,9,16.956180572509766,"[1557.6, 1464.8000000000018, 989.5999999999993, 1144.7999999999988, 1609.6000000000008, 1067.200000000001, 1619.2000000000025, 1556.0000000000023, 1198.4000000000012, 1467.999999999999, 1250.4000000000005, 1625.5999999999972, 1073.6000000000013, 1287.2000000000025, 1804.8000000000002, 1145.600000000002, 1562.3999999999983, 1531.1999999999996, 1308.0000000000007, 1286.3999999999994, 1433.600000000001, 1868.0, 1612.8000000000025, 1634.400000000001, 1335.9999999999973]","[243, 257, 213, 228, 252, 197, 267, 271, 240, 214, 261, 260, 272, 239, 238, 226, 246, 242, 251, 239, 232, 265, 244, 264, 232]",36902.531,55.281,91.224,22362.56,20298.882,100.498,9.047,18360,73440,18360,2040,73440,28.067346938775504,71.69387755102042,3.417187499999999,0.0005000000000000002,120.81827029201293,-0.08709800672166297,121.01812939490041,0.8140111929706989,0.01534563245234996,3.3257429388261612,0.04967359999999999
1937.600000000002,1073.6000000000013,1444.8,246.08,8,3,20400,2040,81600,False,78,10,16d82_00000,79b93d30ba344d608800509a772dedbd,2026-03-16_00-04-44,1773594284,38.77633738517761,395.86069416999817,243108,ASUS-PAVT,172.27.211.168,395.86069416999817,20400,10,16.956180572509766,"[1198.4000000000012, 1467.999999999999, 1250.4000000000005, 1625.5999999999972, 1073.6000000000013, 1287.2000000000025, 1804.8000000000002, 1145.600000000002, 1562.3999999999983, 1531.1999999999996, 1308.0000000000007, 1286.3999999999994, 1433.600000000001, 1868.0, 1612.8000000000025, 1634.400000000001, 1335.9999999999973, 1801.5999999999995, 1526.3999999999965, 1937.600000000002, 1086.399999999999, 1558.399999999998, 1244.0000000000027, 1268.0000000000014, 1271.1999999999998]","[240, 214, 261, 260, 272, 239, 238, 226, 246, 242, 251, 239, 232, 265, 244, 264, 232, 292, 256, 268, 233, 210, 246, 241, 241]",36744.327,55.519,90.034,22658.087,20209.034,100.945,8.992,20400,81600,20400,2040,81600,27.41132075471699,71.63584905660375,3.417187499999999,0.0005000000000000002,106.74713903569406,-0.06262711927173505,106.93300813772986,0.7892245872607154,0.01215759872470261,3.3201154182034154,0.04963280000000002
