episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,3,2040,2040,8160,False,0,1,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-46-11,1773632771,54.00631046295166,54.00631046295166,501732,ASUS-PAVT,172.27.211.168,54.00631046295166,2040,1,22.241020917892456,[],[],25101.14,81.271,110.606,18443.893,26066.335,78.262,10.588,2040,8160,2040,2040,8160,29.632857142857144,84.48571428571428,0.20000000000000004,0.0005000000000000002,756.7988492135079,-0.011083615767992957,756.9513741154825,0.42885490254529063,0.015864631373270023,2.8923640164636795,0.05000000000000001
1996.0000000000025,938.4000000000016,1531.7333333333338,258.8333333333333,12,3,4080,2040,16320,False,12,2,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-47-11,1773632831,59.73608660697937,113.74239706993103,501732,ASUS-PAVT,172.27.211.168,113.74239706993103,4080,2,22.241020917892456,"[1595.9999999999984, 1289.5999999999983, 1948.8000000000006, 1807.2000000000025, 1106.4000000000008, 938.4000000000016, 1996.0000000000025, 1531.2000000000005, 1335.1999999999987, 1598.4000000000028, 1342.3999999999987, 1891.2000000000016]","[250, 254, 270, 286, 218, 226, 267, 300, 230, 236, 257, 312]",36362.119,56.102,140.604,14508.831,29463.878,69.237,15.959,4080,16320,4080,2040,16320,28.263999999999996,85.252,0.20000000000000004,0.0005000000000000002,393.5979230019354,-0.034347361937585856,393.77137759808573,0.7515563160902069,0.037451498691054096,2.9343731398544004,0.04995919999999999
2038.4,938.4000000000016,1522.4000000000008,249.04761904761904,9,3,6120,2040,24480,False,21,3,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-47-57,1773632877,45.98649525642395,159.72889232635498,501732,ASUS-PAVT,172.27.211.168,159.72889232635498,6120,3,22.241020917892456,"[1595.9999999999984, 1289.5999999999983, 1948.8000000000006, 1807.2000000000025, 1106.4000000000008, 938.4000000000016, 1996.0000000000025, 1531.2000000000005, 1335.1999999999987, 1598.4000000000028, 1342.3999999999987, 1891.2000000000016, 1406.4000000000012, 1385.6000000000024, 1523.9999999999984, 2038.4, 1702.4000000000021, 1707.1999999999998, 1303.2000000000014, 1185.5999999999992, 1336.8000000000013]","[250, 254, 270, 286, 218, 226, 267, 300, 230, 236, 257, 312, 230, 225, 253, 233, 263, 227, 220, 212, 261]",41864.369,48.729,125.341,16275.577,27353.981,74.578,14.745,6120,24480,6120,2040,24480,29.051612903225802,85.54516129032257,0.29999999999999993,0.0005000000000000002,393.62807208876455,-0.10323454016108899,393.8665938781154,0.8140106847689997,0.049693714230905316,3.00880515959955,0.04991840000000001
2038.4,938.4000000000016,1527.6480000000004,247.52,5,3,8160,2040,32640,False,26,4,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-48-42,1773632922,44.888466358184814,204.6173586845398,501732,ASUS-PAVT,172.27.211.168,204.6173586845398,8160,4,22.241020917892456,"[1289.5999999999983, 1948.8000000000006, 1807.2000000000025, 1106.4000000000008, 938.4000000000016, 1996.0000000000025, 1531.2000000000005, 1335.1999999999987, 1598.4000000000028, 1342.3999999999987, 1891.2000000000016, 1406.4000000000012, 1385.6000000000024, 1523.9999999999984, 2038.4, 1702.4000000000021, 1707.1999999999998, 1303.2000000000014, 1185.5999999999992, 1336.8000000000013, 1530.3999999999974, 1031.9999999999998, 1896.0000000000025, 1514.4000000000008, 1843.9999999999982]","[254, 270, 286, 218, 226, 267, 300, 230, 236, 257, 312, 230, 225, 253, 233, 263, 227, 220, 212, 261, 253, 191, 288, 209, 267]",41920.115,48.664,116.764,17471.075,25816.144,79.02,13.613,8160,32640,8160,2040,32640,28.018032786885243,85.52622950819669,0.45000000000000007,0.0005000000000000002,391.7553359904597,-0.049346981471605815,391.93373486880336,0.8397842774227742,0.05007888164383928,3.0391260861389098,0.0498776
2199.1999999999975,1031.9999999999998,1568.0639999999999,242.24,10,3,10200,2040,40800,False,36,5,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-49-30,1773632970,48.00921964645386,252.62657833099365,501732,ASUS-PAVT,172.27.211.168,252.62657833099365,10200,5,22.241020917892456,"[1891.2000000000016, 1406.4000000000012, 1385.6000000000024, 1523.9999999999984, 2038.4, 1702.4000000000021, 1707.1999999999998, 1303.2000000000014, 1185.5999999999992, 1336.8000000000013, 1530.3999999999974, 1031.9999999999998, 1896.0000000000025, 1514.4000000000008, 1843.9999999999982, 1477.6000000000001, 2199.1999999999975, 1686.4000000000008, 1198.3999999999978, 1732.7999999999965, 1783.1999999999985, 1668.0000000000039, 1264.7999999999986, 1323.999999999999, 1569.5999999999997]","[312, 230, 225, 253, 233, 263, 227, 220, 212, 261, 253, 191, 288, 209, 267, 239, 252, 253, 242, 267, 220, 240, 209, 256, 234]",42159.587,48.388,111.393,18313.551,25404.196,80.302,12.514,10200,40800,10200,2040,40800,28.190322580645155,85.30322580645158,0.6750000000000002,0.0005000000000000002,153.29906559278888,-0.09388548534878928,153.52413750175506,0.909982722012266,0.04027719909525685,3.177848849565752,0.04983680000000001
2199.1999999999975,1031.9999999999998,1606.3999999999996,242.4,9,3,12240,2040,48960,False,45,6,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-50-15,1773633015,44.685598850250244,297.3121771812439,501732,ASUS-PAVT,172.27.211.168,297.3121771812439,12240,6,22.241020917892456,"[1336.8000000000013, 1530.3999999999974, 1031.9999999999998, 1896.0000000000025, 1514.4000000000008, 1843.9999999999982, 1477.6000000000001, 2199.1999999999975, 1686.4000000000008, 1198.3999999999978, 1732.7999999999965, 1783.1999999999985, 1668.0000000000039, 1264.7999999999986, 1323.999999999999, 1569.5999999999997, 1469.5999999999992, 1558.4000000000015, 1529.5999999999988, 1725.5999999999954, 1660.800000000003, 1679.9999999999995, 1779.2000000000003, 2091.2000000000003, 1608.0000000000007]","[261, 253, 191, 288, 209, 267, 239, 252, 253, 242, 267, 220, 240, 209, 256, 234, 253, 209, 217, 256, 236, 256, 261, 251, 240]",41956.658,48.622,107.97,18894.054,25352.535,80.465,12.029,12240,48960,12240,2040,48960,27.186666666666667,85.57000000000001,1.0124999999999997,0.0005000000000000002,138.54059739843493,-0.08766644300199151,138.75502373518484,0.9148003773823861,0.0322925554096254,3.2022068212109227,0.049795999999999986
2199.1999999999975,1198.3999999999978,1621.8559999999998,239.8,7,3,14280,2040,57120,False,52,7,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-51-00,1773633060,45.02338528633118,342.3355624675751,501732,ASUS-PAVT,172.27.211.168,342.3355624675751,14280,7,22.241020917892456,"[2199.1999999999975, 1686.4000000000008, 1198.3999999999978, 1732.7999999999965, 1783.1999999999985, 1668.0000000000039, 1264.7999999999986, 1323.999999999999, 1569.5999999999997, 1469.5999999999992, 1558.4000000000015, 1529.5999999999988, 1725.5999999999954, 1660.800000000003, 1679.9999999999995, 1779.2000000000003, 2091.2000000000003, 1608.0000000000007, 1569.6, 1514.4000000000024, 1575.999999999998, 1902.399999999997, 1519.9999999999995, 1247.999999999999, 1687.2000000000014]","[252, 253, 242, 267, 220, 240, 209, 256, 234, 253, 209, 217, 256, 236, 256, 261, 251, 240, 238, 224, 253, 261, 234, 217, 216]",42033.771,48.532,111.792,18248.211,24980.304,81.664,11.419,14280,57120,14280,2040,57120,27.004918032786886,85.57049180327866,1.5187500000000003,0.0005000000000000002,109.46192466731995,-0.08803393528186491,109.67524494471088,0.8798485836915432,0.02588369921707662,3.3081668980659975,0.049755200000000006
2091.2000000000003,1229.5999999999983,1589.7599999999998,239.96,8,3,16320,2040,65280,False,60,8,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-51-50,1773633110,49.48805117607117,391.82361364364624,501732,ASUS-PAVT,172.27.211.168,391.82361364364624,16320,8,22.241020917892456,"[1569.5999999999997, 1469.5999999999992, 1558.4000000000015, 1529.5999999999988, 1725.5999999999954, 1660.800000000003, 1679.9999999999995, 1779.2000000000003, 2091.2000000000003, 1608.0000000000007, 1569.6, 1514.4000000000024, 1575.999999999998, 1902.399999999997, 1519.9999999999995, 1247.999999999999, 1687.2000000000014, 1643.1999999999969, 1233.6000000000013, 1631.9999999999977, 1229.5999999999983, 1424.0000000000005, 1475.2000000000012, 1872.8000000000004, 1544.0000000000018]","[234, 253, 209, 217, 256, 236, 256, 261, 251, 240, 238, 224, 253, 261, 234, 217, 216, 231, 253, 271, 231, 208, 260, 268, 221]",42257.751,48.275,107.827,18919.219,25112.366,81.235,11.276,16320,65280,16320,2040,65280,27.274603174603175,85.41428571428577,2.2781249999999997,0.0005000000000000002,135.83741223043012,-0.08386818835753083,136.04063309584893,0.8928156835177252,0.0205747663177106,3.343574142744464,0.04971440000000001
1919.1999999999973,1092.7999999999993,1505.8559999999998,238.96,10,3,18360,2040,73440,False,70,9,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-52-31,1773633151,41.48318862915039,433.30680227279663,501732,ASUS-PAVT,172.27.211.168,433.30680227279663,18360,9,22.241020917892456,"[1569.6, 1514.4000000000024, 1575.999999999998, 1902.399999999997, 1519.9999999999995, 1247.999999999999, 1687.2000000000014, 1643.1999999999969, 1233.6000000000013, 1631.9999999999977, 1229.5999999999983, 1424.0000000000005, 1475.2000000000012, 1872.8000000000004, 1544.0000000000018, 1092.7999999999993, 1683.9999999999964, 1554.3999999999992, 1276.7999999999995, 1272.8000000000025, 1683.2000000000035, 1299.2000000000005, 1646.4000000000008, 1919.1999999999973, 1145.6000000000006]","[238, 224, 253, 261, 234, 217, 216, 231, 253, 271, 231, 208, 260, 268, 221, 224, 238, 234, 216, 247, 243, 228, 235, 280, 243]",42372.032,48.145,106.807,19099.792,24747.914,82.431,11.039,18360,73440,18360,2040,73440,28.044642857142858,85.64107142857142,3.417187499999999,0.0005000000000000002,258.0577952515694,-0.07638692664688514,258.25018149037516,0.8765563784587768,0.014913375845906348,3.3611591761150668,0.04967359999999999
2088.800000000003,1092.7999999999993,1521.504,241.2,6,3,20400,2040,81600,False,76,10,7a247_00000,2ad69c724da6495e948e7828d73be276,2026-03-16_10-53-16,1773633196,44.718024015426636,478.02482628822327,501732,ASUS-PAVT,172.27.211.168,478.02482628822327,20400,10,22.241020917892456,"[1687.2000000000014, 1643.1999999999969, 1233.6000000000013, 1631.9999999999977, 1229.5999999999983, 1424.0000000000005, 1475.2000000000012, 1872.8000000000004, 1544.0000000000018, 1092.7999999999993, 1683.9999999999964, 1554.3999999999992, 1276.7999999999995, 1272.8000000000025, 1683.2000000000035, 1299.2000000000005, 1646.4000000000008, 1919.1999999999973, 1145.6000000000006, 1534.3999999999992, 1564.8000000000025, 1675.199999999999, 2088.800000000003, 1416.0, 1442.4000000000015]","[216, 231, 253, 271, 231, 208, 260, 268, 221, 224, 238, 234, 216, 247, 243, 228, 235, 280, 243, 250, 235, 246, 296, 239, 217]",42024.553,48.543,105.608,19316.747,24798.827,82.262,10.838,20400,81600,20400,2040,81600,27.125,85.65833333333336,3.417187499999999,0.0005000000000000002,120.58155751805151,-0.09489287141214815,120.80094030595595,0.933952119441763,0.012304824972312852,3.3553924964320276,0.04963280000000002
