config,algorithm,checkpoint_iteration,training_metric,global_best_iteration,global_best_value,run_dir,checkpoint_file,plot,status
4v2-9,QPLEX_FOCUS,20,0.6085394525060166,34,0.6100920134858524,/home/pavt1024/vsn/mate/examples/hrl/qplex_focus/camera/ray_results/HRL-QPLEX-FOCUS/QPLEX_FOCUS_mate-hrl.qplex_focus.camera_4f18f_00000_0_2026-05-23_04-22-17,/home/pavt1024/vsn/mate/examples/hrl/qplex_focus/camera/ray_results/HRL-QPLEX-FOCUS/QPLEX_FOCUS_mate-hrl.qplex_focus.camera_4f18f_00000_0_2026-05-23_04-22-17/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v2-9__qplex_focus.png,dry-run
4v2-9,QPLEX_V2,20,0.6079843520062017,39,0.6156842236411876,/home/pavt1024/vsn/mate/examples/hrl/qplex_v2/camera/ray_results/HRL-QPLEXV2/QPLEX_V2_mate-hrl.qplex_v2.camera_905d0_00000_0_2026-05-23_13-42-28,/home/pavt1024/vsn/mate/examples/hrl/qplex_v2/camera/ray_results/HRL-QPLEXV2/QPLEX_V2_mate-hrl.qplex_v2.camera_905d0_00000_0_2026-05-23_13-42-28/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v2-9__qplex_v2.png,dry-run
4v4-9,QPLEX,20,0.5335706743689707,22,0.5475608801097216,/home/pavt1024/vsn/mate/examples/hrl/qplex/camera/ray_results/HRL-QPLEX/QPLEX_mate-hrl.qplex.camera_f1a9b_00000_0_2026-01-18_19-05-13,/home/pavt1024/vsn/mate/examples/hrl/qplex/camera/ray_results/HRL-QPLEX/QPLEX_mate-hrl.qplex.camera_f1a9b_00000_0_2026-01-18_19-05-13/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v4-9__qplex.png,dry-run
4v4-9,QPLEX_FOCUS,20,0.6013722986373498,30,0.6270213305934642,/home/pavt1024/vsn/mate/examples/hrl/qplex_focus/camera/ray_results/HRL-QPLEX-FOCUS/QPLEX_FOCUS_mate-hrl.qplex_focus.camera_f20e9_00000_0_2026-05-23_03-43-53,/home/pavt1024/vsn/mate/examples/hrl/qplex_focus/camera/ray_results/HRL-QPLEX-FOCUS/QPLEX_FOCUS_mate-hrl.qplex_focus.camera_f20e9_00000_0_2026-05-23_03-43-53/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v4-9__qplex_focus.png,dry-run
4v4-9,QPLEX_V2,20,0.5373769242196628,22,0.5449347994309307,/home/pavt1024/vsn/mate/examples/hrl/qplex_v2/camera/ray_results/HRL-QPLEXV2/QPLEX_V2_mate-hrl.qplex_v2.camera_0d015_00000_0_2026-05-23_14-57-31,/home/pavt1024/vsn/mate/examples/hrl/qplex_v2/camera/ray_results/HRL-QPLEXV2/QPLEX_V2_mate-hrl.qplex_v2.camera_0d015_00000_0_2026-05-23_14-57-31/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v4-9__qplex_v2.png,dry-run
4v5-0,QPLEX,20,0.5649271777884494,19,0.5783298339866623,/home/pavt1024/vsn/mate/examples/hrl/qplex/camera/ray_results/HRL-QPLEX/QPLEX_mate-hrl.qplex.camera_2fe5e_00000_0_2025-12-17_16-53-07,/home/pavt1024/vsn/mate/examples/hrl/qplex/camera/ray_results/HRL-QPLEX/QPLEX_mate-hrl.qplex.camera_2fe5e_00000_0_2025-12-17_16-53-07/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v5-0__qplex.png,dry-run
4v5-0,QPLEX_FOCUS,43,0.5761814586122949,33,0.5864066649639486,/home/pavt1024/vsn/mate/examples/hrl/qplex_focus/camera/ray_results/HRL-QPLEX-FOCUS/QPLEX_FOCUS_mate-hrl.qplex_focus.camera_83b84_00000_0_2026-05-23_03-05-01,/home/pavt1024/vsn/mate/examples/hrl/qplex_focus/camera/ray_results/HRL-QPLEX-FOCUS/QPLEX_FOCUS_mate-hrl.qplex_focus.camera_83b84_00000_0_2026-05-23_03-05-01/checkpoint_000043/checkpoint-43,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v5-0__qplex_focus.png,dry-run
4v5-0,QPLEX_V2,20,0.677336854740912,15,0.6933216424093256,/home/pavt1024/vsn/mate/examples/hrl/qplex_v2/camera/ray_results/HRL-QPLEXV2/QPLEX_V2_mate-hrl.qplex_v2.camera_bb8d9_00000_0_2026-01-18_18-27-55,/home/pavt1024/vsn/mate/examples/hrl/qplex_v2/camera/ray_results/HRL-QPLEXV2/QPLEX_V2_mate-hrl.qplex_v2.camera_bb8d9_00000_0_2026-01-18_18-27-55/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v5-0__qplex_v2.png,dry-run
4v5-0,QPLEX_WM2,20,0.5971354457772489,21,0.6125228528336055,/home/pavt1024/vsn/mate/examples/hrl/qplex_wm2/camera/ray_results/HRL-QPLEX-WM2/QPLEX_WM2_mate-hrl.qplex_wm2.camera_baa28_00000_0_2026-04-11_15-09-14,/home/pavt1024/vsn/mate/examples/hrl/qplex_wm2/camera/ray_results/HRL-QPLEX-WM2/QPLEX_WM2_mate-hrl.qplex_wm2.camera_baa28_00000_0_2026-04-11_15-09-14/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v5-0__qplex_wm2.png,dry-run
4v8-9,QPLEX,20,0.5000344261000766,26,0.5262131316294439,/home/pavt1024/vsn/mate/examples/hrl/qplex/camera/ray_results/HRL-QPLEX/QPLEX_mate-hrl.qplex.camera_576b9_00000_0_2026-01-17_13-25-39,/home/pavt1024/vsn/mate/examples/hrl/qplex/camera/ray_results/HRL-QPLEX/QPLEX_mate-hrl.qplex.camera_576b9_00000_0_2026-01-17_13-25-39/checkpoint_000020/checkpoint-20,outputs/evaluate_best_checkpoints_dry_all_hrl/plots/4v8-9__qplex.png,dry-run
